Voter ID,Date Called,Time Called (EST),Result
2149456344,9/27/22,06:35 PM EST,Answering Machine
2174991193,9/27/22,06:35 PM EST,No Contact
1193848106,9/27/22,06:18 PM EST,Answering Machine
1118172757,9/27/22,06:15 PM EST,Answering Machine
1102265661,9/27/22,06:20 PM EST,Remove number from list
2175789244,9/27/22,06:15 PM EST,Deliverability Error
1199573937,9/27/22,06:16 PM EST,Answering Machine
1216087219,9/27/22,06:18 PM EST,Deliverability Error
2177840238,9/27/22,06:16 PM EST,Deliverability Error
1184259230,9/27/22,06:18 PM EST,Answering Machine
2001977500,9/27/22,06:21 PM EST,Answering Machine
2119721230,9/27/22,06:19 PM EST,Answering Machine
2134866575,9/27/22,06:18 PM EST,Answering Machine
1119270019,9/27/22,06:21 PM EST,Answering Machine
2124067974,9/27/22,06:25 PM EST,No Contact
2134067779,9/27/22,06:33 PM EST,Answering Machine
2131291626,9/27/22,06:18 PM EST,Answering Machine
1216913443,9/27/22,06:18 PM EST,Answering Machine
--,9/27/22,06:18 PM EST,Deliverability Error
1122182671,9/27/22,06:18 PM EST,Deliverability Error
1217795577,9/27/22,06:18 PM EST,Answering Machine
1103150769,9/27/22,06:18 PM EST,Answering Machine
2174862625,9/27/22,06:21 PM EST,No Answer
1219335559,9/27/22,06:20 PM EST,Answering Machine
2192559283,9/27/22,06:23 PM EST,Deliverability Error
2187594419,9/27/22,06:23 PM EST,Answering Machine
1192975990,9/27/22,06:22 PM EST,Answering Machine
1108851769,9/27/22,06:18 PM EST,Answering Machine
1108790363,9/27/22,06:19 PM EST,Busy Signal
1149876743,9/27/22,06:28 PM EST,Answering Machine
2132704059,9/27/22,06:31 PM EST,No Contact
2175346465,9/27/22,06:18 PM EST,Answering Machine
1111891588,9/27/22,06:25 PM EST,Deliverability Error
1184610078,9/27/22,06:25 PM EST,Deliverability Error
2142921428,9/27/22,06:19 PM EST,Answering Machine
1103114006,9/27/22,06:19 PM EST,No Contact
2135958199,9/27/22,06:23 PM EST,Answering Machine
1166780672,9/27/22,06:20 PM EST,Answering Machine
1103061344,9/27/22,06:19 PM EST,Busy Signal
1171961498,9/27/22,06:19 PM EST,Answering Machine
1107508919,9/27/22,06:33 PM EST,Deliverability Error
2154751218,9/27/22,06:19 PM EST,Answering Machine
1197455867,9/27/22,06:20 PM EST,Busy Signal
2167982508,9/27/22,06:21 PM EST,Answering Machine
2003517202,9/27/22,06:21 PM EST,Answering Machine
2167225276,9/27/22,06:21 PM EST,No Contact
2172420768,9/27/22,06:19 PM EST,Talked to Correct Person
2178397247,9/27/22,06:29 PM EST,Answering Machine
1119407375,9/27/22,06:29 PM EST,Answering Machine
1111833587,9/27/22,06:24 PM EST,Answering Machine
2165716788,9/27/22,06:25 PM EST,Answering Machine
1155856745,9/27/22,06:21 PM EST,Answering Machine
1111838794,9/27/22,06:21 PM EST,Answering Machine
2140601079,9/27/22,06:23 PM EST,Answering Machine
1108797134,9/27/22,06:21 PM EST,Answering Machine
1103064865,9/27/22,06:21 PM EST,Deliverability Error
1205974161,9/27/22,06:21 PM EST,Answering Machine
2173932722,9/27/22,06:21 PM EST,Deliverability Error
1102374172,9/27/22,06:33 PM EST,No Contact
2191818297,9/27/22,06:33 PM EST,Answering Machine
2132768912,9/27/22,06:33 PM EST,Answering Machine
1198614197,9/27/22,06:36 PM EST,No Contact
1103142737,9/27/22,06:22 PM EST,No Contact
1102288660,9/27/22,06:22 PM EST,Answering Machine
1108882564,9/27/22,06:24 PM EST,Answering Machine
2190924017,9/27/22,06:23 PM EST,Deliverability Error
2177609456,9/27/22,06:35 PM EST,Deliverability Error
1119172087,9/27/22,06:32 PM EST,Talked to Correct Person
