timestamp,message_direction,Voter ID
2022-09-29 16:29:30.961018Z,outgoing,2190569615
2022-09-29 16:29:35.169465Z,outgoing,2150089460
2022-09-29 16:29:41.388121Z,outgoing,1194639514
2022-09-29 16:29:44.224242Z,outgoing,2173605508
2022-09-29 16:29:49.942975Z,outgoing,2152627414
2022-09-29 16:29:52.270522Z,outgoing,1189629488
2022-09-29 16:29:53.488139Z,outgoing,2142265299
2022-09-29 16:29:55.284910Z,outgoing,2002352925
2022-09-29 16:29:56.376685Z,outgoing,1119195449
2022-09-29 16:29:57.450492Z,outgoing,2141361716
2022-09-29 16:29:57.814302Z,outgoing,2140109785
2022-09-29 16:29:58.078662Z,outgoing,1122659638
2022-09-29 16:29:58.508504Z,outgoing,1119187360
2022-09-29 16:29:59.108267Z,outgoing,2164546019
2022-09-29 16:29:59.592357Z,outgoing,2179035226
2022-09-29 16:30:00.538488Z,outgoing,2139689275
2022-09-29 16:30:00.981999Z,outgoing,1117593354
2022-09-29 16:30:01.204064Z,outgoing,1217508661
2022-09-29 16:30:01.689458Z,outgoing,2152008017
2022-09-29 16:30:02.363151Z,outgoing,2169025593
2022-09-29 16:30:02.711582Z,outgoing,1204709961
2022-09-29 16:30:03.200545Z,outgoing,2153252770
2022-09-29 16:30:03.559122Z,outgoing,1152634856
2022-09-29 16:30:04.370132Z,outgoing,2129640847
2022-09-29 16:30:04.607754Z,outgoing,1200292848
2022-09-29 16:30:04.987189Z,outgoing,1111899950
2022-09-29 16:30:05.183501Z,outgoing,2187096319
2022-09-29 16:30:05.540566Z,outgoing,1212892020
2022-09-29 16:30:05.760998Z,outgoing,2119617224
2022-09-29 16:30:06.159903Z,outgoing,2177941507
2022-09-29 16:30:06.351818Z,outgoing,2168555917
2022-09-29 16:30:06.528476Z,outgoing,1112375665
2022-09-29 16:30:06.912750Z,outgoing,2188926472
2022-09-29 16:30:08.317698Z,outgoing,1190433009
2022-09-29 16:30:08.520333Z,outgoing,2143328607
2022-09-29 16:30:08.848679Z,outgoing,2163854224
2022-09-29 16:30:09.029819Z,outgoing,1212626250
2022-09-29 16:30:09.437669Z,outgoing,2157065049
2022-09-29 16:30:09.667284Z,outgoing,2122947037
2022-09-29 16:30:10.326890Z,outgoing,2158631507
2022-09-29 16:30:11.176836Z,outgoing,2128428129
2022-09-29 16:30:11.860788Z,outgoing,1119204178
2022-09-29 16:30:16.669284Z,outgoing,2124708553
2022-09-29 16:30:24.981816Z,outgoing,1214360381
2022-09-29 16:30:25.549562Z,outgoing,1197847820
2022-09-29 16:30:27.750775Z,outgoing,2156729878
2022-09-29 16:30:28.307140Z,outgoing,2122826909
2022-09-29 16:30:28.938635Z,outgoing,2155353086
2022-09-29 16:30:29.186723Z,outgoing,1111191282
2022-09-29 16:30:29.596922Z,outgoing,2148411508
2022-09-29 16:30:30.201040Z,outgoing,1110263301
2022-09-29 16:30:30.757423Z,outgoing,2148361142
2022-09-29 16:30:31.215317Z,outgoing,1102743768
2022-09-29 16:30:31.513378Z,outgoing,1177792927
2022-09-29 16:30:31.818071Z,outgoing,2177646488
